PLAYER,TEAM,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,STARTER,HOME,GP
Aaron Gordon,DEN,29.2616,5.25,9.375,0.5936,0.75,2.5,0.3875,1.375,2.25,0.4791,1.875,4.25,6.125,1.625,0.5,0.875,2.125,2.5,12.625,9.875,1.0,0.375,8
Aaron Henry,PHI,0.6887,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.3333,3
Aaron Holiday,WAS,16.2241,2.0,4.5,0.4495,0.875,1.75,0.5416,0.75,0.875,0.3438,0.125,1.375,1.5,1.375,0.125,0.375,1.125,1.5,5.625,1.25,0.25,0.5,8
Aaron Nesmith,BOS,3.7985,0.125,1.375,0.125,0.125,1.25,0.125,0.0,0.0,0.0,0.25,0.25,0.5,0.375,0.125,0.0,0.125,0.625,0.375,-5.125,0.0,0.375,8
Aaron Wiggins,OKC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
Abdel Nader,PHO,8.1056,0.6667,2.1667,0.2143,0.1667,0.8333,0.1667,0.5,0.6667,0.25,0.1667,1.0,1.1667,0.3333,0.3333,0.0,0.5,0.3333,2.0,-1.8333,0.0,0.6667,6
Al Horford,BOS,30.1082,5.1667,11.5,0.4406,1.3333,4.3333,0.2493,2.3333,2.5,0.6482,1.6667,9.0,10.6667,3.6667,1.1667,3.1667,1.5,2.1667,14.0,1.8333,1.0,0.5,6
Alec Burks,NYK,17.9585,2.625,6.25,0.4446,1.625,3.875,0.486,1.25,1.5,0.4271,0.0,2.625,2.625,1.875,0.875,0.25,0.625,1.375,8.125,2.0,0.0,0.5,8
Aleksej Pokusevski,OKC,14.0903,2.1429,5.0,0.3486,0.7143,2.7143,0.2313,0.5714,0.8571,0.2857,0.5714,3.5714,4.1429,1.1429,0.7143,0.4286,1.4286,0.8571,5.5714,-4.5714,0.0,0.4286,7
Alex Caruso,CHI,27.9105,2.75,5.875,0.4776,0.875,2.125,0.3749,1.625,1.875,0.5,0.375,1.875,2.25,4.125,2.5,0.5,1.875,2.75,8.0,3.875,0.0,0.5,8
