PLAYER,TEAM,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,STARTER,HOME,GP
Aaron Gordon,DEN,234.0925,42,75,6,20,11,18,15,34,49,13,4,7,17,20,101,79,8,3,8
Aaron Henry,PHI,2.066,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-6,0,1,3
Aaron Holiday,WAS,129.7925,16,36,7,14,6,7,1,11,12,11,1,3,9,12,45,10,2,4,8
Aaron Nesmith,BOS,30.387625,1,11,1,10,0,0,2,2,4,3,1,0,1,5,3,-41,0,3,8
Aaron Wiggins,OKC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Abdel Nader,PHO,48.633593749999996,4,13,1,5,3,4,1,6,7,2,2,0,3,2,12,-11,0,4,6
Al Horford,BOS,180.649375,31,69,8,26,14,15,10,54,64,22,7,19,9,13,84,11,6,3,6
Alec Burks,NYK,143.6678125,21,50,13,31,10,12,0,21,21,15,7,2,5,11,65,16,0,4,8
Aleksej Pokusevski,OKC,98.631875,15,35,5,19,4,6,4,25,29,8,5,3,10,6,39,-32,0,3,7
Alex Caruso,CHI,223.28375,22,47,7,17,13,15,3,15,18,33,20,4,15,22,64,31,0,4,8
Alex Len,SAC,93.0896875,14,25,2,4,8,10,2,19,21,6,3,8,7,21,38,-7,0,3,8
Alize Johnson,CHI,48.65359375,7,10,0,0,2,3,4,10,14,3,1,0,3,7,16,-18,0,4,8
Alperen Şengün,HOU,140.13150000000002,19,44,2,8,20,26,10,21,31,15,16,3,21,24,60,-6,1,3,7
Amir Coffey,LAC,44.499609375,3,13,2,10,7,7,1,5,6,2,0,0,0,4,15,3,0,3,6
Andre Drummond,PHI,126.67093750000001,16,34,0,1,10,11,17,48,65,18,13,6,16,18,42,29,1,5,8
Andre Iguodala,GSW,125.9325,9,22,4,13,2,4,4,24,28,17,4,4,3,5,24,38,0,4,6
Andrew Wiggins,GSW,209.364375,42,95,14,36,13,17,10,23,33,13,7,3,9,10,111,38,7,4,7
Anfernee Simons,POR,186.361875,44,86,21,49,5,5,2,17,19,17,5,0,8,13,114,18,0,4,8
Anthony Davis,LAL,285.37187500000005,81,161,3,20,35,48,30,59,89,21,7,19,18,15,200,-1,8,6,8
Anthony Edwards,MIN,250.695,64,152,20,65,19,23,14,37,51,24,9,2,21,13,167,23,7,6,7
Anthony Gill,WAS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Armoni Brooks,HOU,40.0717421875,6,17,4,13,3,3,1,1,2,2,0,0,0,5,19,16,0,3,7
Arnoldas Kulboka,CHO,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Austin Reaves,LAL,139.710625,13,25,5,15,4,4,0,11,11,6,1,2,7,13,35,25,0,6,8
Austin Rivers,DEN,72.1921875,5,18,2,8,1,2,1,4,5,5,1,0,6,4,13,-32,0,3,8
Avery Bradley,LAL,129.958875,12,29,6,17,0,0,4,7,11,3,4,1,3,10,30,-10,2,6,8
Ayo Dosunmu,CHI,89.70587499999999,12,29,5,9,1,2,2,11,13,7,1,2,4,5,30,20,0,4,8
Bam Adebayo,MIA,190.10625,45,88,0,0,35,41,17,66,83,9,5,4,17,16,125,62,6,3,6
Ben McLemore,POR,17.298,3,8,2,7,2,2,0,0,0,1,0,0,1,0,10,-3,0,4,8
Ben Simmons,PHI,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blake Griffin,BRK,150.5925,12,44,4,24,8,10,8,28,36,9,3,3,4,14,36,6,7,5,7
Boban Marjanović,DAL,29.28521875,13,17,0,0,3,8,4,6,10,1,0,1,5,8,29,11,0,4,8
Bobby Portis,MIL,57.00625,14,35,2,10,3,4,6,10,16,1,1,2,4,9,33,-6,0,2,3
Bogdan Bogdanović,ATL,236.07187499999998,35,77,15,36,8,8,5,26,31,20,8,1,8,18,93,-13,8,3,8
Bojan Bogdanović,UTA,210.201875,40,88,12,38,25,27,7,25,32,8,5,0,10,10,117,76,7,3,7
Bol Bol,DEN,10.16559375,3,6,0,1,0,0,0,3,3,1,1,0,0,2,6,2,0,3,8
Bones Hyland,DEN,73.554625,15,34,8,22,0,0,1,6,7,11,6,1,3,6,38,16,0,3,8
Brad Wanamaker,IND,66.932625,4,17,2,4,3,4,3,8,11,11,0,4,8,10,13,-10,0,5,9
Bradley Beal,WAS,257.81875,63,163,13,53,32,32,7,33,40,34,12,4,25,12,171,2,7,3,7
Brandon Boston,LAC,8.836,1,3,0,0,1,2,0,1,1,1,0,0,0,1,3,-5,0,4,6
Brandon Clarke,MEM,66.5471875,9,19,0,2,3,7,6,11,17,5,1,2,1,8,21,2,0,4,8
Brandon Ingram,NOP,222.17875,62,133,15,33,11,16,6,38,44,29,2,3,21,17,150,-42,6,3,7
Brodric Thomas,BOS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brook Lopez,MIL,28.17,3,9,2,4,0,0,2,3,5,0,1,3,0,3,8,0,1,1,2
Bruce Brown,BRK,173.915625,24,48,3,11,3,4,6,22,28,4,10,5,5,14,54,-1,5,6,8
Bruno Fernando,BOS,3.515625,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,-6,0,3,7
Bryn Forbes,SAS,108.7745625,17,42,10,25,2,4,1,6,7,3,1,0,7,7,46,-26,0,4,8
Buddy Hield,SAC,222.58749999999998,44,105,32,79,14,16,7,39,46,12,7,2,15,19,134,16,0,3,8
CJ Elleby,POR,26.22188671875,3,8,1,3,0,0,0,7,7,1,0,0,3,3,7,-4,0,4,8
CJ McCollum,POR,274.74875,70,161,33,77,14,20,8,25,33,30,11,9,20,18,187,-10,8,4,8
Cade Cunningham,DET,48.15625,3,22,0,14,2,2,2,7,9,5,0,1,4,2,8,-21,2,2,2
Caleb Martin,MIA,52.35,8,14,1,4,2,4,2,7,9,2,5,2,3,6,19,11,0,1,5
Cam Reddish,ATL,192.51999999999998,40,92,16,39,18,21,7,17,24,9,9,1,15,9,114,-36,0,3,8
Cameron Johnson,PHO,126.02499999999999,15,46,9,28,2,3,3,13,16,5,4,2,1,8,41,-24,0,4,6
Cameron Payne,PHO,33.15,4,14,1,6,5,8,1,4,5,7,1,0,4,3,14,15,0,4,6
Cameron Thomas,BRK,16.66540625,0,6,0,2,2,2,0,1,1,1,0,0,1,0,2,-13,0,6,8
Caris LeVert,IND,70.21875,20,47,5,15,7,12,0,5,5,14,3,3,5,4,52,32,3,3,3
Carmelo Anthony,LAL,218.13875000000002,47,91,27,51,11,14,4,25,29,7,5,7,8,17,132,25,0,6,8
Cedi Osman,CLE,138.47375,26,51,19,38,3,5,3,11,14,11,2,0,7,9,74,-10,0,3,9
